2008-06-17,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-18,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-19,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-20,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-23,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-24,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-25,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-26,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-27,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-06-30,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-01,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-02,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-03,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-07,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-08,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-09,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-10,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-11,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-14,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-15,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-16,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-17,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-18,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-21,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-22,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-23,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-24,5.519281387329102,5.519281387329102,5.519281387329102,5.519281387329102,0
2008-07-25,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,400
2008-07-28,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-07-29,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-07-30,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-07-31,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-08-01,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-08-04,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-08-05,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-08-06,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-08-07,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-08-08,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
2008-08-11,3.6230869293212886,3.6230869293212886,3.6230869293212886,3.623086929321289,0
